"Industry","Short.name","Ticker","abs.change","percent.change","norm.per.change","Market.Cap.Nov5","Market.Cap.Nov7","P.E.Nov5","P.E.Nov7","Total.Return.Nov5","Total.Return.Nov7","Revenue.T12M.Nov5","Revenue.T12M.Nov7","EPS.T12M.Nov5","EPS.T12M.Nov7","percent.change.by.industry","sd"
"Consumer S","REYNOLDS AMERICA","RAI US Equity",-1.117647,-7.26332285386154,-1.89483280011649,24856438784,23051034624,15.387544,14.269897,7.33768,3.685019,8308999936,8308999936,2.52,2.52,-5.36849005374505,6.08241645441448
"Consumer S","PHILIP MORRIS IN","PM US Equity",-0.353175,-2.0197458428578,3.34874421088725,147225821184,145562124288,17.486111,17.132936,5.368242,13.070603,31159000064,31159000064,5.01,5.01,-5.36849005374505,6.08241645441448
"Consumer S","ARCHER-DANIELS","ADM US Equity",-1.321782,-9.31286954216878,-3.94437948842373,18881097728,17122724864,14.193069,12.871287,4.673241,-7.464515,88944001024,88944001024,1.43,1.43,-5.36849005374505,6.08241645441448
"Consumer S","ALTRIA GROUP INC","MO US Equity",-0.938077,-6.06184225848029,-0.693352204735238,69258633216,63588331520,15.475114,14.537037,8.778626,10.103415,17499999744,17385999360,1.95,1.81,-5.36849005374505,6.08241645441448
"Consumer S","COCA-COLA ENTER","CCE US Equity",-2.285713,-14.0231766078278,-8.65468655408275,10152924160,8729160704,16.299538,14.013825,11.471791,19.996494,8038999936,8038999936,2.32,2.32,-5.36849005374505,6.08241645441448
"Consumer S","CONSTELLATION-A","STZ US Equity",2.192901,15.8361267461508,21.2046167998959,5959848448,6532584960,13.847458,16.040359,-7.657528,73.052735,2728299904,2662099968,2.24,2.16,-5.36849005374505,6.08241645441448
"Consumer S","KELLOGG CO","K US Equity",-1.320588,-7.65558260869566,-2.28709255495061,21021296640,19411994624,17.25,15.929412,5.013434,9.867651,13648999936,13648999936,3.32,3.32,-5.36849005374505,6.08241645441448
"Consumer S","DR PEPPER SNAPPL","DPS US Equity",-0.574325,-3.75774063819924,1.61074941554581,9414987776,9061196800,15.283785,14.70946,2.399279,12.981106,5971999872,5971999872,2.94,2.94,-5.36849005374505,6.08241645441448
"Consumer S","KRAFT FOODS GROU","KRFT US Equity",0,0,5.36849005374505,27612456960,26385438720,NA,NA,2.485149,NA,NA,NA,NA,NA,-5.36849005374505,6.08241645441448
"Consumer S","MOLSON COORS-B","TAP US Equity",-0.899761000000002,-8.3094527030534,-2.94096264930835,8190253056,7529425408,10.828162,9.928401,6.029441,-2.261845,3823600000,3823600000,3.06,3.06,-5.36849005374505,6.08241645441448
"Consumer S","BEAM INC","BEAM US Equity",-1.444594,-6.06753174924987,-0.699041695504818,9697929216,8854376448,23.808594,22.364,-0.229169,10.69231,2465900096,2545400064,2.4,2.21,-5.36849005374505,6.08241645441448
"Consumer S","HERSHEY CO/THE","HSY US Equity",-2.9961,-12.0756211744512,-6.70713112070615,17637603328,15751103488,24.811146,21.815046,10.966489,14.590205,6644252032,6460361984,3,2.96,-5.36849005374505,6.08241645441448
"Consumer S","WHOLE FOODS MKT","WFM US Equity",-0.107011,-0.301392444868103,5.06709760887695,17838768128,17715144704,35.505535,35.398524,5.786597,38.77539,11698828032,11698828032,2.56,2.56,-5.36849005374505,6.08241645441448
"Consumer S","SYSCO CORP","SYY US Equity",-0.856482,-5.76503912568265,-0.396549071937597,18862602240,17775165440,14.856482,14,2.247846,6.876071,42881464320,42881464320,1.89,1.89,-5.36849005374505,6.08241645441448
"Consumer S","CVS CAREMARK COR","CVS US Equity",-1.646466,-9.48042621513764,-4.11193616139259,64304406528,58208075776,17.367004,15.720538,7.141086,16.173706,120055998464,120055998464,2.98,2.98,-5.36849005374505,6.08241645441448
"Consumer S","CAMPBELL SOUP CO","CPB US Equity",-0.194287999999998,-1.32312721329337,4.04536284045168,11567414272,11126372352,14.684,14.489712,5.216393,8.662642,7881999872,7706999808,2.38,2.42,-5.36849005374505,6.08241645441448
"Consumer S","TYSON FOODS-A","TSN US Equity",10.704403,0,5.36849005374505,8179890176,6160211968,NA,10.704403,17.525772,-16.98275,NA,33308999680,NA,1.38,-5.36849005374505,6.08241645441448
"Consumer S","GENERAL MILLS IN","GIS US Equity",-0.267795,-1.71622723144628,3.65226282229877,27241089024,25628311552,15.603703,15.335908,5.064027,1.494495,17119300352,16861299968,2.79,2.64,-5.36849005374505,6.08241645441448
"Consumer S","MONSTER BEVERAGE","MNST US Equity",-1.470708,-5.61739438653207,-0.248904332787018,8224457216,7934593024,26.18132,24.710612,-9.822102,-2.38048,1999141952,1999141952,1.92,1.92,-5.36849005374505,6.08241645441448
"Consumer S","PEPSICO INC","PEP US Equity",-0.880382000000001,-5.06398385842275,0.304506195322302,112409845760,106717421568,17.385166,16.504784,6.19611,6.449461,6.5696e+10,6.5696e+10,3.79,3.79,-5.36849005374505,6.08241645441448
"Consumer S","LORILLARD INC","LO US Equity",-0.569361000000001,-4.02696255198756,1.34152750175749,15347046400,14561311744,14.138721,13.56936,0.462845,2.34162,4551999936,4551999936,2.79,8.37,-5.36849005374505,6.08241645441448
